state_id,age_range_id,gender_id,Population,Deaths,Probability
13,2,1,5870761,1778,0.000302857
13,3,2,7198794,834,0.000115853
13,3,1,7513939,987,0.000131356
13,5,2,7427283,2363,0.000318151
13,5,1,7892641,6621,0.000838883
13,6,2,7345598,3108,0.000423111
13,6,1,7645364,10659,0.001394178
13,7,2,7467891,3677,0.000492375
13,7,1,7592797,10068,0.001325994
13,8,2,7515401,4894,0.000651196
13,8,1,7581997,10722,0.001414139
13,9,1,7589774,13486,0.001776865
13,9,2,7608514,7375,0.000969309
13,10,1,7769821,20177,0.002596842
13,10,2,7892162,12049,0.001526705
13,11,1,7655342,30594,0.003996425
13,11,2,7860194,19096,0.002429457
13,12,1,7191139,43257,0.00601532
13,12,2,7494700,27258,0.00363697
13,13,1,6122923,55141,0.009005666
13,13,2,6507169,35672,0.005481954
13,14,1,4830097,64706,0.013396418
13,14,2,5295453,44760,0.008452535
13,15,1,3660983,73770,0.020150326
13,15,2,4224718,56341,0.013336038
13,16,1,2808368,89664,0.03192744
13,16,2,3512094,75054,0.021370157
13,17,1,2161744,108468,0.050176154
13,17,2,3010627,102963,0.034199853
13,18,1,1489770,120565,0.0809286
13,18,2,2432890,138579,0.056960652
14,1,2,705534,4856,0.00688273
14,1,1,739704,6209,0.008393898
14,4,2,3741951,533,0.000142439
14,4,1,3929006,840,0.000213795
14,2,2,2842652,873,0.000307108
14,2,1,2975712,1058,0.000355545
14,3,2,3643236,503,0.000138064
14,3,1,3821577,656,0.000171657
14,5,2,3827932,1417,0.000370174
14,5,1,4031009,3499,0.000868021
14,6,2,3810821,1836,0.000481786
14,6,1,3919917,5527,0.001409979
14,7,2,3475004,2224,0.000639999
14,7,1,3516780,5537,0.001574452
14,8,2,3504320,2886,0.000823555
14,8,1,3548886,5997,0.001689826
14,9,2,3653494,4262,0.001166555
14,9,1,3661190,7442,0.002032672
14,10,1,3841786,11205,0.002916612
14,10,2,3856261,6901,0.001789557
14,11,1,3857543,17361,0.004500533
14,11,2,3907418,10659,0.002727888
14,12,1,3685073,24499,0.006648172
14,12,2,3775664,15601,0.004131988
14,13,1,3181485,31315,0.009842888
14,13,2,3324236,20069,0.006037177
14,14,1,2544434,37768,0.01484338
14,14,2,2742408,26021,0.009488377
14,15,1,1946663,43503,0.022347474
14,15,2,2205755,32720,0.014833923
14,16,1,1489535,52125,0.034994142
14,16,2,1830245,43378,0.023700652
14,17,1,1126277,61437,0.054548748
14,17,2,1556890,58516,0.037585186
14,18,1,754488,65689,0.08706434
14,18,2,1233032,75804,0.061477723
15,1,2,321797,1510,0.004692399
15,1,1,335972,1920,0.005714762
15,4,2,1700682,232,0.000136416
15,4,1,1792728,337,0.000187982
15,2,2,1288423,301,0.000233619
15,2,1,1348119,416,0.000308578
15,3,2,1650083,189,0.00011454
15,3,1,1732118,281,0.000162229
15,5,2,1820044,599,0.000329113
15,5,1,1913919,1349,0.000704837
15,6,2,1797250,670,0.000372792
15,6,1,1894798,1821,0.000961052
15,7,2,1523668,697,0.000457449
15,7,1,1593811,1658,0.001040274
15,8,2,1554863,967,0.00062192
15,8,1,1612069,1831,0.001135807
15,9,2,1593334,1404,0.000881171
15,9,1,1626815,2505,0.001539819
15,10,2,1727822,2429,0.001405816
15,10,1,1743388,3933,0.002255952
15,11,2,1801078,3980,0.002209788
15,11,1,1811539,6069,0.00335019
15,12,2,1769908,5802,0.003278136
15,12,1,1776452,9475,0.005333665
15,13,1,1551417,12401,0.007993338
15,13,2,1567487,7488,0.004777073
15,14,1,1261749,15329,0.012149009
15,14,2,1311408,10047,0.007661231
15,15,1,981822,18554,0.018897519
15,15,2,1080864,13222,0.012232806
15,16,1,789420,23582,0.029872565
15,16,2,943933,18339,0.019428286
15,17,1,637758,30422,0.047701479
15,17,2,848272,26303,0.031007743
15,18,1,459922,36224,0.078761181
15,18,2,720091,37978,0.052740556
16,1,2,327869,2031,0.006194547
16,1,1,343163,2629,0.007661082
16,4,2,1652638,248,0.000150063
16,4,1,1747454,392,0.000224326
16,2,2,1301650,379,0.000291169
16,2,1,1362853,528,0.000387423
16,3,2,1631186,229,0.000140389
16,3,1,1716064,247,0.000143934
16,5,2,1699112,669,0.000393735
16,5,1,1813240,1484,0.000818424
16,6,2,1692727,744,0.000439527
16,6,1,1827530,2436,0.001332947
16,7,2,1503419,827,0.00055008
16,7,1,1572957,2157,0.001371303
16,8,2,1505030,1058,0.000702976
16,8,1,1563061,2188,0.001399817
16,9,2,1523516,1603,0.001052171
16,9,1,1552583,2754,0.001773818
16,10,2,1620519,2745,0.001693902
16,10,1,1621776,4124,0.002542891
16,11,1,1659981,6572,0.003959081
16,11,2,1668534,4280,0.002565126
16,12,1,1599243,9601,0.006003465
16,12,2,1617969,5959,0.003683012
16,13,1,1373789,12038,0.008762627
16,13,2,1407566,7719,0.005483935
16,14,1,1091480,14595,0.013371752
16,14,2,1143997,9711,0.008488659
16,15,1,836318,16736,0.020011527
16,15,2,924410,12248,0.013249532
16,16,1,656772,20358,0.030997058
16,16,2,785514,16602,0.021135206
16,17,1,527923,25850,0.048965474
16,17,2,694702,23737,0.034168608
16,18,1,376724,30223,0.080225842
16,18,2,578525,32883,0.056839376
17,1,2,457415,2782,0.006082004
17,1,1,481461,3770,0.007830333
17,4,2,2350764,381,0.000162075
17,4,1,2481696,586,0.000236129
17,2,2,1820348,555,0.000304887
17,2,1,1907147,685,0.000359175
17,3,2,2304845,334,0.000144912
17,3,1,2420566,402,0.000166077
17,5,2,2385661,991,0.000415398
17,5,1,2526249,2360,0.000934191
17,6,2,2485679,1447,0.000582135
17,6,1,2573985,3854,0.001497289
17,7,2,2354297,1862,0.000790894
17,7,1,2384765,4393,0.00184211
17,8,2,2387834,2591,0.001085084
17,8,1,2415310,5096,0.002109874
17,9,2,2487304,3629,0.001459009
17,9,1,2489273,6474,0.002600759
17,10,1,2585531,9522,0.003682802
17,10,2,2618747,5709,0.00218005
17,11,1,2598819,14173,0.005453631
17,11,2,2666564,8602,0.003225874
17,12,1,2495594,19970,0.008002103
17,12,2,2591873,12482,0.004815822
17,13,1,2186076,25468,0.011650098
17,13,2,2314223,16252,0.007022659
17,14,1,1802007,30454,0.016900045
17,14,2,1948606,20930,0.010741012
17,15,1,1403107,35733,0.025467053
17,15,2,1584140,26269,0.016582499
17,16,1,1056182,40986,0.038805812
17,16,2,1289537,32865,0.025485891
17,17,1,762646,45580,0.059765606
17,17,2,1053411,42485,0.040330887
17,18,1,483553,44566,0.09216363
17,18,2,799206,53038,0.066363366
18,1,2,524711,4365,0.008318865
18,1,1,546721,5494,0.010049001
18,4,2,2678878,508,0.000189632
18,4,1,2802516,867,0.000309365
18,2,2,2081548,837,0.000402105
18,2,1,2167026,1096,0.000505762
18,3,2,2597639,432,0.000166305
18,3,1,2708908,617,0.000227767
18,5,2,2795946,1305,0.000466747
18,5,1,2877712,3537,0.001229101
18,6,1,2913146,6166,0.002116612
